关键词,投放实例数,方案数,推广单元数,方案ID列表,推广单元ID列表,总消费额,总点击量,总浏览量,CPC有效正值数,CPC最小正值,CPC中位数,CPC最大值,CPC最大最小比,点击量最小值,点击量中位数,点击量最大值,点击量极差,浏览深度有效正值数,浏览深度最小正值,浏览深度中位数,浏览深度最大值,浏览深度最大最小比,跳出率最小值,跳出率中位数,跳出率最大值,平均访问时长最小值_秒,平均访问时长中位数_秒,平均访问时长最大值_秒,组内最大倍率,差异排序依据
4158,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,52.67,44,69,3,0.872307692308,1.305,1.59666666667,1.83039388595,3,13,28,25,3,1,1.30769230769,1.75,1.75,0.6667,0.92,1,98,301,312,1.83039388595,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4827,2,1,2,63563817,1841014603；4190988310,110.5,68,220,2,1.57967213115,1.79983606557,2.02,1.27874636779,7,34,61,54,2,1.85714285714,2.62529274005,3.39344262295,1.82723833544,0.6667,0.6882,0.7097,255,255.5,256,1.82723833544,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2955,2,2,2,495403620；525368335,9628223555；9811363528,5.91,8,8,2,0.564,0.797,1.03,1.82624113475,3,4,5,2,2,1,1,1,1,1,1,1,3,23,43,1.82624113475,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2505,2,1,2,63563817,1841014603；4190988310,19.82,10,24,2,1.70875,2.391875,3.075,1.79956108266,2,5,8,6,2,2.125,2.8125,3.5,1.64705882353,0,0.4375,0.875,85,113.5,142,1.79956108266,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5374,2,1,2,63563817,1841014603；4190988309,112.04,54,77,2,1.47384615385,2.05335164835,2.63285714286,1.78638532657,26,27,28,2,2,1.26923076923,1.42032967033,1.57142857143,1.2380952381,0.75,0.76975,0.7895,75,114,153,1.78638532657,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2892,3,2,3,495817671；63563817,1841014603；4190988310；9630806627,179.02,122,229,2,1.42548076923,1.56746260684,1.70944444444,1.19920554619,0,18,104,104,2,1.68269230769,2.34134615385,3,1.78285714286,0.6842,0.7521,0.82,119,129.5,140,1.78285714286,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1719,2,2,2,495403620；525368335,9628223555；9811363528,54.62,72,103,2,0.747575757576,0.813787878788,0.88,1.17713822456,6,36,66,60,2,0.833333333333,1.15909090909,1.48484848485,1.78181818182,0.7381,0.86905,1,79,96.5,114,1.78181818182,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5313,2,2,2,495403620；525368335,9628223555；9811363528,12.53,19,33,2,0.646666666667,0.768333333333,0.89,1.37628865979,1,9.5,18,17,2,1,1.38888888889,1.77777777778,1.77777777778,0.7857,0.89285,1,0,85.5,171,1.77777777778,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3416,2,2,2,495403620；495817671,9628223555；9630806627,14.91,11,11,2,1.3425,1.36625,1.39,1.03538175047,3,5.5,8,5,2,0.666666666667,0.895833333333,1.125,1.6875,0.875,0.9375,1,92,106,120,1.6875,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3501,2,1,2,63563817,1841014603；4190988310,14.5,9,40,2,1.01,1.348125,1.68625,1.66955445545,1,4.5,8,7,1,5,2.5,5,,0,0.375,0.75,0,180.5,361,1.66955445545,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2043,2,2,2,495403620；525368335,9628223555；9811363528,4.27,4,0,2,0.815,1.0675,1.32,1.61963190184,2,2,2,0,0,,0,0,,0,0,0,0,0,0,1.61963190184,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2985,2,1,2,63563817,1841014603；4190988310,1924.54,1292,2182,2,1.48768282662,1.50404141331,1.5204,1.02199203539,75,646,1217,1142,2,1.63105998357,2.12886332512,2.62666666667,1.61040470193,0.6901,0.78645,0.8828,84,124,164,1.61040470193,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2854,2,2,2,495403620；525368335,9628223555；9811363528,13.72,13,14,2,0.805,1.0375,1.27,1.57763975155,6,6.5,7,1,2,0.833333333333,1.05952380952,1.28571428571,1.54285714286,0.6667,0.83335,1,57,90,123,1.57763975155,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5767,2,2,2,495403620；495817671,9628223555；9630806627,28.84,20,20,2,1.33285714286,1.51476190476,1.69666666667,1.27295462665,6,10,14,8,2,0.857142857143,1.09523809524,1.33333333333,1.55555555556,0.8571,0.8831,0.9091,23,35.5,48,1.55555555556,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6325,2,1,2,63563817,1841014603；4190988310,101.66,73,131,2,1.30484375,1.66075520833,2.01666666667,1.5455234902,9,36.5,64,55,2,1.44444444444,1.64409722222,1.84375,1.27644230769,0.75,0.83265,0.9153,41,67.5,94,1.5455234902,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6383,2,2,2,495403620；525368335,9628223555；9811363528,7.55,11,9,2,0.54,0.674166666667,0.808333333333,1.49691358025,5,5.5,6,1,2,0.8,0.816666666667,0.833333333333,1.04166666667,1,1,1,2,47,92,1.49691358025,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2633,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,937.84,811,1403,2,1.14124837451,1.28752894916,1.43380952381,1.25635186505,0,42,769,769,2,1.68790637191,2.09395318596,2.5,1.4811248074,0.6834,0.7205,0.7576,212,232,252,1.4811248074,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4529,2,2,2,495403620；525368335,9628223555；9811363528,9.99,9,7,2,0.81,1.00285714286,1.19571428571,1.47619047619,2,4.5,7,5,2,0.714285714286,0.857142857143,1,1.4,1,1,1,2,37.5,73,1.47619047619,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1092,2,2,2,495403620；495817671,9628223555；9630806627,28.67,29,52,2,0.942692307692,1.16467948718,1.38666666667,1.47096423229,3,14.5,26,23,2,1.76923076923,1.88461538462,2,1.13043478261,0.6667,0.77085,0.875,251,290,329,1.47096423229,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6250,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,4.47,4,4,2,1,1.235,1.47,1.47,0,1,3,3,2,1,1,1,1,1,1,1,10,45,80,1.47,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1186,2,1,2,63563817,1841014603；4190988310,56.86,40,58,2,1.41205128205,1.60102564103,1.79,1.26765934265,1,20,39,38,2,1,1.23076923077,1.46153846154,1.46153846154,0.8974,0.9487,1,13,79.5,146,1.46153846154,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4479,2,2,2,495403620；525368335,9628223555；9811363528,25.66,29,29,2,0.878095238095,0.890297619048,0.9025,1.02779284165,8,14.5,21,13,2,0.75,0.922619047619,1.09523809524,1.46031746032,0.9444,0.9722,1,52,52.5,53,1.46031746032,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3169,2,1,2,63563817,1841014603；4190988310,1053.19,678,981,2,1.415,1.48459940653,1.55419881306,1.09837371947,4,339,674,670,2,1,1.22477744807,1.44955489614,1.44955489614,0.8812,0.9406,1,7,35.5,64,1.44955489614,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6083,2,1,2,63563817,1841014603；4190988309,149.85,92,363,2,1.430625,1.55057565789,1.67052631579,1.16768986687,16,46,76,60,2,3.67105263158,4.46052631579,5.25,1.43010752688,0.4375,0.5214,0.6053,197,284,371,1.43010752688,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4762,2,2,2,495403620；495817671,9628223555；9630806627,4.11,9,6,2,0.448571428571,0.466785714286,0.485,1.08121019108,2,4.5,7,5,2,0.5,0.607142857143,0.714285714286,1.42857142857,1,1,1,2,147.5,293,1.42857142857,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2432,2,2,2,495403620；495817671,9628223555；9630806627,6.56,6,7,2,0.903333333333,1.09333333333,1.28333333333,1.42066420664,3,3,3,0,2,1,1.16666666667,1.33333333333,1.33333333333,1,1,1,8,23,38,1.42066420664,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5592,2,1,2,63563817,1841014603；4190988310,35.29,21,21,2,1.65764705882,1.71757352941,1.7775,1.07230305181,4,10.5,17,13,2,0.75,0.904411764706,1.05882352941,1.41176470588,0.9375,0.96875,1,7,20.5,34,1.41176470588,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6157,2,2,2,495403620；495817671,9628223555；9630806627,10.81,10,25,2,0.964285714286,1.15880952381,1.35333333333,1.40345679012,3,5,7,4,2,2.42857142857,2.54761904762,2.66666666667,1.09803921569,0.6,0.63335,0.6667,72,219,366,1.40345679012,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6504,2,2,2,495403620；495817671,9628223555；9630806627,306.27,162,264,2,1.41230769231,1.69714649321,1.98198529412,1.40336649366,26,81,136,110,2,1.55882352941,1.77941176471,2,1.28301886792,0.7619,0.78795,0.814,134,159,184,1.40336649366,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1241,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,27.91,27,77,2,0.7725,0.925815217391,1.07913043478,1.39693260166,0,4,23,23,2,2.5,2.70652173913,2.91304347826,1.1652173913,0.65,0.7,0.75,177,319.5,462,1.39693260166,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5721,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,25.98,22,29,2,1.15388888889,1.22819444444,1.3025,1.12879152624,0,4,18,18,2,1,1.19444444444,1.38888888889,1.38888888889,0.9444,0.9722,1,6,78,150,1.38888888889,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3587,2,2,2,495817671；500635396,9630806627；9657930100,1338.51,838,1567,2,1.17166666667,1.38600160256,1.60033653846,1.36586333297,6,419,832,826,2,1.83333333333,1.85176282051,1.87019230769,1.0201048951,0.3333,0.45965,0.586,77,111,145,1.36586333297,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6617,2,2,2,495403620；495817671,9628223555；9630806627,336.08,249,320,2,1.33726890756,1.47817990833,1.61909090909,1.21074445082,11,124.5,238,227,2,1.26470588235,1.49598930481,1.72727272727,1.36575052854,0.7,0.779,0.858,99,211.5,324,1.36575052854,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2919,2,2,2,495403620；525368335,9628223555；9811363528,98.81,119,119,2,0.633076923077,0.743802612482,0.854528301887,1.34980169192,13,59.5,106,93,2,0.981132075472,1.06748911466,1.15384615385,1.17603550296,0.8182,0.86305,0.9079,95,165,235,1.34980169192,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4002,2,2,2,495403620；495817671,9628223555；9630806627,221.2,167,447,2,1.29973333333,1.42163137255,1.54352941176,1.18757392165,17,83.5,150,133,2,2.58666666667,3.02862745098,3.47058823529,1.34172225591,0.68,0.715,0.75,288,304.5,321,1.34172225591,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2889,2,1,2,63563817,1841014603；4190988310,15.89,9,7,2,1.75,1.82,1.89,1.08,1,4.5,8,7,2,0.75,0.875,1,1.33333333333,1,1,1,20,20.5,21,1.33333333333,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4931,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,2.43,5,3,2,0.405,0.4725,0.54,1.33333333333,0,2,3,3,2,0.5,0.583333333333,0.666666666667,1.33333333333,1,1,1,1,31.5,62,1.33333333333,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2855,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,67.43,84,85,3,0.769272727273,0.838888888889,0.910909090909,1.18411722997,11,18,55,44,3,0.833333333333,0.909090909091,1.09090909091,1.30909090909,0.8444,1,1,60,92,120,1.30909090909,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6360,2,2,2,495403620；495817671,9628223555；9630806627,42720.89,25029,52431,2,1.61230769231,1.84024458012,2.06818146793,1.28274613946,5191,12514.5,19838,14647,2,1.97388849682,2.26540697236,2.55692544789,1.29537481575,0.6224,0.65515,0.6879,230,251.5,273,1.29537481575,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6352,2,1,2,63563817,1841014603；4190988310,131.24,78,450,2,1.67071428571,1.6835515873,1.69638888889,1.01536744098,36,39,42,6,2,5.02777777778,5.71626984127,6.40476190476,1.27387529597,0.375,0.4018,0.4286,387,395.5,404,1.27387529597,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4189,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,28.27,23,47,2,1.10625,1.20045833333,1.29466666667,1.17032015066,0,8,15,15,2,1.86666666667,2.12083333333,2.375,1.27232142857,0.3333,0.5,0.6667,57,67,77,1.27232142857,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4675,2,1,2,63563817,1841014603；4190988310,23.99,17,64,2,1.40875,1.429375,1.45,1.02928127773,1,8.5,16,15,2,3,3.40625,3.8125,1.27083333333,0,0.35295,0.7059,42,107,172,1.27083333333,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6542,2,2,2,495403620；525368335,9628223555；9811363528,10.46,13,9,2,0.758,0.859,0.96,1.26649076517,3,6.5,10,7,2,0.666666666667,0.683333333333,0.7,1.05,1,1,1,28,265,502,1.26649076517,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5267,2,1,2,63563817,1841014603；4190988310,114.32,85,187,2,1.33686746988,1.50843373494,1.68,1.25666906994,2,42.5,83,81,2,2,2.10240963855,2.20481927711,1.10240963855,0.5,0.6607,0.8214,133,150,167,1.25666906994,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5795,2,2,2,495403620；495817671,9628223555；9630806627,33.25,32,31,2,1.03096774194,1.16048387097,1.29,1.25125156446,1,16,31,30,2,0.967741935484,0.983870967742,1,1.03333333333,0.9231,0.96155,1,1,60,119,1.25125156446,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1314,2,2,2,495403620；495817671,9628223555；9630806627,38.08,28,42,2,1.20416666667,1.34052083333,1.476875,1.22647058824,12,14,16,4,2,1.5,1.5,1.5,1,0.6364,0.7413,0.8462,53,100.5,148,1.22647058824,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1667,2,1,2,63563817,1841014603；4190988310,181.67,94,206,2,1.76566037736,1.95709848136,2.14853658537,1.21684589682,41,47,53,12,2,2.09756097561,2.1808559595,2.2641509434,1.0794207986,0.8333,0.85785,0.8824,49,75,101,1.21684589682,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2113,2,2,2,495403620；525368335,9628223555；9811363528,99.48,101,106,2,0.969130434783,0.994096467391,1.0190625,1.05152254374,32,50.5,69,37,2,0.985507246377,1.08650362319,1.1875,1.20496323529,0.875,0.8763,0.8776,45,95,145,1.20496323529,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4773,2,1,2,63563817,1841014603；4190988310,258.37,138,213,2,1.69161290323,1.80809617124,1.92457943925,1.13771858537,31,69,107,76,2,1.35483870968,1.4764847754,1.59813084112,1.17957276368,0.8621,0.89345,0.9248,48,53,58,1.17957276368,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
735,2,2,2,495817671；525368335,9630806627；9811363528,41.54,44,46,2,0.865238095238,0.94066252588,1.01608695652,1.17434375823,21,22,23,2,2,1.04347826087,1.04554865424,1.04761904762,1.00396825397,0.7692,0.80125,0.8333,87,174,261,1.17434375823,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3732,2,1,2,63563817,1841014603；4190988310,78.02,54,55,2,1.41136363636,1.50168181818,1.592,1.12798711755,10,27,44,34,2,1,1.05,1.1,1.1,0.9,0.9,0.9,22,25.5,29,1.12798711755,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1318,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,1603.58,1527,1641,2,0.960642570281,1.01411627732,1.06758998435,1.11132903889,0,249,1278,1278,2,0.983935742972,1.03813375568,1.09233176839,1.11016575644,0.8079,0.82365,0.8394,91,110.5,130,1.11132903889,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5395,2,2,2,495403620；525368335,9628223555；9811363528,5.08,4,1,2,1.19,1.24333333333,1.29666666667,1.08963585434,1,2,3,2,1,0.333333333333,0.166666666667,0.333333333333,,0,0.5,1,0,7,14,1.08963585434,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5406,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,7.3,9,5,2,0.805,0.8325,0.86,1.06832298137,0,1,8,8,1,0.625,0.3125,0.625,,0,0.5,1,0,38.5,77,1.06832298137,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1567,2,1,2,63563817,1841014603；4190988310,404.72,261,889,2,1.54369747899,1.58315308732,1.62260869565,1.05111831673,23,130.5,238,215,2,3.34782608696,3.37979539642,3.41176470588,1.01909854851,0.6957,0.69765,0.6996,187,197.5,208,1.05111831673,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3352,2,2,2,495403620；525368335,9628223555；9811363528,41.68,30,30,2,1.33666666667,1.36592592593,1.39518518519,1.04377944029,3,15,27,24,2,1,1,1,1,0.9524,0.9762,1,81,101.5,122,1.04377944029,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
154,2,2,2,495403620；525368335,9628223555；9811363528,52.15,73,55,2,0.713661971831,0.726830985915,0.74,1.03690546675,2,36.5,71,69,1,0.774647887324,0.387323943662,0.774647887324,,0,0.48075,0.9615,0,47,94,1.03690546675,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6152,2,2,2,495403620；525368335,9628223555；9811363528,14.45,18,16,2,0.795555555556,0.802777777778,0.81,1.01815642458,9,9,9,0,2,0.888888888889,0.888888888889,0.888888888889,1,0.8571,0.92855,1,33,221.5,410,1.01815642458,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2742,2,2,2,495403620；525368335,9628223555；9811363528,2201.88,6284,4228,1,0.350394653087,0.350394653087,0.350394653087,,0,3142,6284,6284,1,0.672819859962,0.672819859962,0.672819859962,,0.9227,0.9227,0.9227,58,58,58,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5460,2,2,2,495403620；525368335,9628223555；9811363528,9272.73,2590,5678,1,3.5802046332,3.5802046332,3.5802046332,,0,1295,2590,2590,1,2.19227799228,2.19227799228,2.19227799228,,0.697,0.697,0.697,171,171,171,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6607,2,2,2,495817671；525368335,9630806627；9811363528,2674.93,1735,2223,1,1.54174639769,1.54174639769,1.54174639769,,0,867.5,1735,1735,1,1.28126801153,1.28126801153,1.28126801153,,0.6209,0.6209,0.6209,240,240,240,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
665,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,893.04,602,734,1,1.4834551495,1.4834551495,1.4834551495,,0,0,602,602,1,1.21926910299,1.21926910299,1.21926910299,,0.7539,0.7539,0.7539,174,174,174,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5964,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,1774.21,550,790,1,3.22583636364,3.22583636364,3.22583636364,,0,0,550,550,1,1.43636363636,1.43636363636,1.43636363636,,0.8364,0.8364,0.8364,111,111,111,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3374,2,2,2,495403620；495817671,9628223555；9630806627,2398.88,445,3848,1,5.39074157303,5.39074157303,5.39074157303,,0,222.5,445,445,1,8.64719101124,8.64719101124,8.64719101124,,0.2606,0.2606,0.2606,480,480,480,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4025,2,2,2,495817671；525368335,9630806627；9811363528,4371.61,319,1051,1,13.7041065831,13.7041065831,13.7041065831,,0,159.5,319,319,1,3.29467084639,3.29467084639,3.29467084639,,0.5397,0.5397,0.5397,264,264,264,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3393,2,2,2,495403620；495817671,9628223555；9630806627,298.34,124,269,1,2.40596774194,2.40596774194,2.40596774194,,0,62,124,124,1,2.16935483871,2.16935483871,2.16935483871,,0.7182,0.7182,0.7182,103,103,103,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6500,2,2,2,495403620；495817671,9628223555；9630806627,116.38,82,350,1,1.41926829268,1.41926829268,1.41926829268,,0,41,82,82,1,4.26829268293,4.26829268293,4.26829268293,,0.4595,0.4595,0.4595,252,252,252,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5330,2,1,2,63563817,1841014603；4190988310,121.6,77,649,1,1.57922077922,1.57922077922,1.57922077922,,0,38.5,77,77,1,8.42857142857,8.42857142857,8.42857142857,,0.4861,0.4861,0.4861,767,767,767,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4832,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,171.45,73,180,1,2.34863013699,2.34863013699,2.34863013699,,0,0,73,73,1,2.46575342466,2.46575342466,2.46575342466,,0.7231,0.7231,0.7231,162,162,162,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
433,2,2,2,495403620；525368335,9628223555；9811363528,438.82,72,332,1,6.09472222222,6.09472222222,6.09472222222,,0,36,72,72,1,4.61111111111,4.61111111111,4.61111111111,,0.4746,0.4746,0.4746,375,375,375,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1735,2,2,2,495403620；525368335,9628223555；9811363528,62.35,65,76,1,0.959230769231,0.959230769231,0.959230769231,,0,32.5,65,65,1,1.16923076923,1.16923076923,1.16923076923,,0.8718,0.8718,0.8718,170,170,170,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3008,2,2,2,495403620；495817671,9628223555；9630806627,45.41,54,204,1,0.840925925926,0.840925925926,0.840925925926,,0,27,54,54,1,3.77777777778,3.77777777778,3.77777777778,,0.6042,0.6042,0.6042,319,319,319,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5486,2,2,2,495403620；495817671,9628223555；9630806627,1121.76,52,93,1,21.5723076923,21.5723076923,21.5723076923,,0,26,52,52,1,1.78846153846,1.78846153846,1.78846153846,,0.7955,0.7955,0.7955,234,234,234,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
270,2,2,2,495403620；525368335,9628223555；9811363528,263.36,50,167,1,5.2672,5.2672,5.2672,,0,25,50,50,1,3.34,3.34,3.34,,0.6512,0.6512,0.6512,163,163,163,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2226,2,2,2,495403620；525368335,9628223555；9811363528,43.74,46,78,1,0.950869565217,0.950869565217,0.950869565217,,0,23,46,46,1,1.69565217391,1.69565217391,1.69565217391,,0.7714,0.7714,0.7714,178,178,178,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5010,2,1,2,63563817,1841014603；4190988310,63.52,44,78,1,1.44363636364,1.44363636364,1.44363636364,,0,22,44,44,1,1.77272727273,1.77272727273,1.77272727273,,0.8444,0.8444,0.8444,114,114,114,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5696,2,2,2,495403620；495817671,9628223555；9630806627,54.85,41,39,1,1.33780487805,1.33780487805,1.33780487805,,0,20.5,41,41,1,0.951219512195,0.951219512195,0.951219512195,,0.9375,0.9375,0.9375,76,76,76,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
625,2,2,2,495817671；525368335,9630806627；9811363528,33.59,37,30,1,0.907837837838,0.907837837838,0.907837837838,,0,18.5,37,37,1,0.810810810811,0.810810810811,0.810810810811,,0.84,0.84,0.84,96,96,96,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
640,2,2,2,495817671；525368335,9630806627；9811363528,432.45,35,165,1,12.3557142857,12.3557142857,12.3557142857,,0,17.5,35,35,1,4.71428571429,4.71428571429,4.71428571429,,0.3871,0.3871,0.3871,337,337,337,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
770,3,1,3,63563817,1841014603；2526158329；4190988309,41.28,30,49,1,1.376,1.376,1.376,,0,0,30,30,1,1.63333333333,1.63333333333,1.63333333333,,0.75,0.75,0.75,107,107,107,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5661,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,33.08,29,27,1,1.14068965517,1.14068965517,1.14068965517,,0,0,29,29,1,0.931034482759,0.931034482759,0.931034482759,,0.8947,0.8947,0.8947,100,100,100,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3936,2,2,2,495817671；525368335,9630806627；9811363528,155.23,28,51,1,5.54392857143,5.54392857143,5.54392857143,,0,14,28,28,1,1.82142857143,1.82142857143,1.82142857143,,0.8696,0.8696,0.8696,72,72,72,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
469,2,2,2,495403620；525368335,9628223555；9811363528,124.59,25,119,1,4.9836,4.9836,4.9836,,0,12.5,25,25,1,4.76,4.76,4.76,,0.7143,0.7143,0.7143,438,438,438,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6162,2,2,2,495403620；525368335,9628223555；9811363528,121.83,24,24,1,5.07625,5.07625,5.07625,,0,12,24,24,1,1,1,1,,0.9048,0.9048,0.9048,45,45,45,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2371,2,2,2,495403620；525368335,9628223555；9811363528,20.29,22,81,1,0.922272727273,0.922272727273,0.922272727273,,0,11,22,22,1,3.68181818182,3.68181818182,3.68181818182,,0.5294,0.5294,0.5294,209,209,209,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
751,2,2,2,495403620；525368335,9628223555；9811363528,118.97,21,76,1,5.66523809524,5.66523809524,5.66523809524,,0,10.5,21,21,1,3.61904761905,3.61904761905,3.61904761905,,0.5294,0.5294,0.5294,589,589,589,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1660,2,2,2,495403620；525368335,9628223555；9811363528,24.25,18,38,1,1.34722222222,1.34722222222,1.34722222222,,0,9,18,18,1,2.11111111111,2.11111111111,2.11111111111,,0.6667,0.6667,0.6667,282,282,282,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4949,2,2,2,495403620；495817671,9628223555；9630806627,21.56,17,16,1,1.26823529412,1.26823529412,1.26823529412,,0,8.5,17,17,1,0.941176470588,0.941176470588,0.941176470588,,0.9286,0.9286,0.9286,59,59,59,,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
