日期,总展现量,总点击量,总消费额,上方位展现量,上方首位展现量,CTR,CPC,上方位展现率,首位展现率,新注册数
2025-10-26,39677,932,1494.600000,8137,2239,0.023490,1.603648,0.205081,0.056431,108
2025-10-27,38901,939,1338.340000,8245,2220,0.024138,1.425282,0.211948,0.057068,133
2025-10-28,71004,2604,4441.830000,21894,5223,0.036674,1.705772,0.308349,0.073559,269
2025-10-29,80608,2574,4321.080000,22877,5396,0.031932,1.678741,0.283806,0.066941,259
2025-10-30,79314,2498,4032.440000,22392,5001,0.031495,1.614267,0.282321,0.063053,254
2025-10-31,77811,2506,4175.440000,22039,4947,0.032206,1.666177,0.283238,0.063577,269
2025-11-01,70239,2341,3894.790000,20224,4654,0.033329,1.663729,0.287931,0.066259,214
2025-11-02,40225,778,1231.880000,6578,1799,0.019341,1.583393,0.163530,0.044723,94
2025-11-03,37374,810,1220.570000,6488,1745,0.021673,1.506877,0.173597,0.046690,107
2025-11-04,82457,2707,4438.120000,24072,5534,0.032829,1.639498,0.291934,0.067114,324
2025-11-05,40929,1171,2082.770000,11685,2331,0.028611,1.778625,0.285494,0.056952,139
2025-11-06,80210,2711,5054.160000,24007,5349,0.033799,1.864316,0.299302,0.066687,312
2025-11-07,77361,2615,4784.170000,23595,5298,0.033803,1.829511,0.304999,0.068484,307
2025-11-08,73386,2400,4347.560000,22102,4917,0.032704,1.811483,0.301175,0.067002,275
2025-11-09,39241,902,1643.980000,8723,2002,0.022986,1.822594,0.222293,0.051018,113
2025-11-10,38932,952,1880.370000,8729,2043,0.024453,1.975179,0.224211,0.052476,149
2025-11-11,84243,3234,7305.500000,25146,7036,0.038389,2.258967,0.298494,0.083520,396
2025-11-12,81176,3139,7110.660000,26621,7220,0.038669,2.265263,0.327942,0.088943,386
2025-11-13,83213,3043,7068.760000,28625,7193,0.036569,2.322958,0.343997,0.086441,337
2025-11-14,83322,2950,6651.440000,25526,6879,0.035405,2.254725,0.306354,0.082559,335
2025-11-15,72621,2599,5889.080000,24297,5791,0.035789,2.265902,0.334573,0.079743,339
2025-11-16,39205,1051,2271.450000,9241,2462,0.026808,2.161227,0.235710,0.062798,122
2025-11-17,42117,983,2044.670000,9062,2219,0.023340,2.080031,0.215163,0.052687,156
2025-11-18,83732,2674,4322.170000,12562,6053,0.031935,1.616369,0.150026,0.072290,293
2025-11-19,83124,3312,7318.800000,20278,8148,0.039844,2.209783,0.243949,0.098022,431
2025-11-20,69461,2893,6691.900000,19351,7018,0.041649,2.313135,0.278588,0.101035,376
2025-11-21,76326,2887,5892.320000,18854,6546,0.037825,2.040984,0.247019,0.085764,330
2025-11-22,68032,2427,4839.550000,19754,5332,0.035674,1.994046,0.290363,0.078375,279
2025-11-23,33592,873,1500.790000,6278,2198,0.025988,1.719118,0.186890,0.065432,128
2025-11-24,34140,734,1208.320000,5313,1749,0.021500,1.646213,0.155624,0.051230,84
2025-11-25,79735,2926,5237.380000,17596,6663,0.036697,1.789945,0.220681,0.083564,370
2025-11-26,74684,2934,5944.600000,22712,6731,0.039286,2.026108,0.304108,0.090126,334
2025-11-27,72640,2643,4897.440000,20503,5756,0.036385,1.852985,0.282255,0.079240,307
2025-11-28,73017,2430,3458.780000,15641,4980,0.033280,1.423366,0.214210,0.068203,216
2025-11-29,67403,2061,3052.340000,13087,4482,0.030577,1.481000,0.194160,0.066496,188
2025-11-30,34455,785,1120.340000,5354,1940,0.022783,1.427185,0.155391,0.056305,84
2025-12-01,33929,713,948.940000,4707,1646,0.021014,1.330912,0.138731,0.048513,92
2025-12-02,80872,2702,3975.700000,19080,5764,0.033411,1.471392,0.235928,0.071273,274
2025-12-03,81769,3158,5910.190000,27335,6381,0.038621,1.871498,0.334295,0.078037,362
2025-12-04,82672,3214,6099.480000,24856,6906,0.038877,1.897785,0.300658,0.083535,411
2025-12-05,78285,3220,5824.010000,29189,6795,0.041132,1.808699,0.372856,0.086798,349
2025-12-06,66836,2436,4000.150000,21413,5156,0.036447,1.642098,0.320381,0.077144,221
2025-12-07,31742,848,918.370000,5178,1690,0.026715,1.082983,0.163128,0.053242,91
2025-12-08,33363,791,902.170000,5295,1596,0.023709,1.140544,0.158709,0.047837,87
2025-12-09,79885,3018,5047.650000,26666,6291,0.037779,1.672515,0.333805,0.078751,308
2025-12-10,78752,3047,5788.710000,27293,6330,0.038691,1.899806,0.346569,0.080379,300
2025-12-11,77053,3088,5801.670000,28042,6411,0.040076,1.878779,0.363931,0.083202,372
2025-12-12,76765,3001,5349.530000,26154,6231,0.039093,1.782582,0.340702,0.081170,284
2025-12-13,68445,2628,5047.740000,23459,5835,0.038396,1.920753,0.342742,0.085251,240
2025-12-14,30284,736,855.380000,4535,1563,0.024303,1.162201,0.149749,0.051611,80
2025-12-15,31451,770,878.260000,4844,1529,0.024483,1.140597,0.154017,0.048615,82
2025-12-16,78661,3302,6261.130000,27532,6862,0.041978,1.896163,0.350008,0.087235,337
2025-12-17,75873,3205,6228.600000,24435,6664,0.042242,1.943401,0.322051,0.087831,340
2025-12-18,74682,3146,6089.550000,28440,6494,0.042125,1.935648,0.380815,0.086955,322
2025-12-19,70574,2785,5211.330000,25726,5678,0.039462,1.871214,0.364525,0.080455,282
2025-12-20,64636,2580,4956.070000,23887,5409,0.039916,1.920957,0.369562,0.083684,249
2025-12-21,25834,741,855.280000,4303,1542,0.028683,1.154224,0.166563,0.059689,75
2025-12-22,25928,738,844.470000,4802,1501,0.028463,1.144268,0.185205,0.057891,70
2025-12-23,70206,3217,6128.090000,25653,6229,0.045822,1.904908,0.365396,0.088725,315
2025-12-24,67984,3102,6063.960000,25358,6174,0.045628,1.954855,0.373000,0.090815,314
2025-12-25,66784,2921,5115.910000,21614,5437,0.043738,1.751424,0.323640,0.081412,248
2025-12-26,65736,2947,5598.950000,25874,5685,0.044831,1.899881,0.393605,0.086482,291
2025-12-27,59163,2763,5997.920000,22593,5364,0.046701,2.170800,0.381877,0.090665,270
2025-12-28,25208,696,834.590000,4589,1300,0.027610,1.199124,0.182045,0.051571,79
2025-12-29,26432,732,851.960000,5311,1256,0.027694,1.163880,0.200931,0.047518,66
2025-12-30,48925,2709,6742.390000,22389,5668,0.055370,2.488885,0.457619,0.115851,301
2025-12-31,47026,2353,4929.720000,20520,4488,0.050036,2.095079,0.436354,0.095437,208
